University,Country,Masterprogram,Deadline,Ranking,Duration (month),Status,Pre-Requisites,Fee,Start Date,Notes
ZHAW,CH,Innovation and Entrepreneurship,"May 29, 2026","#58 FT Master in Management (Worldwide)
#62 FT Business School (EU)",24,Not started,,CHF 720.- pro Semester,"August 31, 2026",https://www.zhaw.ch/de/sml/studium/master/business-administration-innovation-and-entrepreneurship
ZHAW,CH,Wirtschaftsinformatik,"May 29, 2026","#58 FT Master in Management (Worldwide)
#62 FT Business School (EU)",24,Not started,,CHF 720.- pro Semester,"August 31, 2026",https://www.zhaw.ch/de/sml/studium/master/wirtschaftsinformatik
Singapore Management University (SMU),SG,Master of IT in Business,"May 31, 2026",#64 FT Master in Management,12,Not started,"Bachelor's Degree

GMAT or 
GRE or 
SMU Admissions Test

English Requirements:
TOEFL / IELTS (Waived if English was the medium of instruction for your undergraduate studies.)","S$54,500","August 1, 2026",https://masters.smu.edu.sg/programme/master-of-it-in-business
Singapore Management University (SMU),SG,Management,"May 31, 2026",#64 FT Master in Management,12,Not started,"Bachelor's Degree

GMAT or
GRE or 
SMU Admissions Test

English Requirements:
TOEFL / IELTS (Waived if English was the medium of instruction for your undergraduate studies.)","S$59,950","August 1, 2026",https://masters.smu.edu.sg/programme/msc-in-management
Warwick Business School,UK,Management,"August 2, 2026",#40 FT Master in Management,12,Not started,"2.1 degree at Undergraduate (mindestens 5.0 Schnitt)

English Requirements:
CAE 190 Score Overall
CPE 190 Score Overall
TOEFL: 100 (Minimum language components L21, R22, W21, S23)","£30,320","September 1, 2026",https://www.wbs.ac.uk/courses/masters/management/
Lancaster University Management School,UK,Management,"March 31, 2026","#88 FT Master in Management
#184 THE World University (Lancaster University)",12,Not started,"2:2 degree

English Requirements:
IELTS (Academic) Test with an overall score of at least 6.5, and a minimum of 6.0 in each element of the test","£30,000",,https://www.lancaster.ac.uk/study/postgraduate/postgraduate-courses/management-msc/2026/
Lancaster University Management School,UK,Management and AI,"March 31, 2026","#88 FT Master in Management
#184 THE World University (Lancaster University)",12,Not started,"2:2 degree

English Requirements:
IELTS (Academic) Test with an overall score of at least 6.5, and a minimum of 6.0 in each element of the test","£28,000",,https://www.lancaster.ac.uk/study/postgraduate/postgraduate-courses/management-and-artificial-intelligence-msc/2026/
National University Singapore (NUS),SG,Real Estate,"June 29, 2026",#17 World University Ranking,12,Not interested,,,"December 31, 2026",
Imperial College,UK,"Innovation, Entrepreneurship & Management","September 27, 2025",,12,Rejected,,"£42,500","August 31, 2026",
Imperial College,UK,Management,"September 26, 2025",#8 World University Ranking,12,Withdrawn,,"£44,000","August 30, 2026",
University College London (UCL),UK,Management of Complex Projects,"June 25, 2026",#22 World University Ranking,12,Not interested,"Bachelor overall mark 4.5/6.0

The English language level for this course is: Level 2

https://www.ucl.ac.uk/languages-international-education/preparation-courses are for international students who are aiming to study for a postgraduate degree at UCL. The courses will develop your academic English and academic skills required to succeed at postgraduate level.",To be confirmed,"August 31, 2026",
